SMILES,V
[O-][n+]1c(OCC(F)([N+]([O-])=O)[N+](=O)[O-])n[n+](c(n1)OCC([N+]([O-])=O)(F)[N+]([O-])=O)[O-],3.36390002
[N+](=O)(C([N+]([O-])=O)(F)COc1n[n+]([O-])c(OCC([N+](=O)[O-])([N+]([O-])=O)F)n[n+]1[O-])[O-],3.36390002
c1(n[n+]([O-])c(OCC(F)([N+]([O-])=O)[N+](=O)[O-])n[n+]1[O-])OCC(F)([N+]([O-])=O)[N+]([O-])=O,3.36390002
n1[n+](c(n[n+](c1OCC([N+]([O-])=O)(F)[N+](=O)[O-])[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)[O-],3.36390002
[N+](=O)(C([N+](=O)[O-])(F)COc1[n+]([O-])nc([n+]([O-])n1)OCC([N+]([O-])=O)([N+](=O)[O-])F)[O-],3.36390002
[O-][N+](C(F)([N+](=O)[O-])COc1n[n+](c(OCC([N+](=O)[O-])([N+]([O-])=O)F)n[n+]1[O-])[O-])=O,3.36390002
C(C([N+](=O)[O-])([N+]([O-])=O)F)Oc1[n+](nc([n+]([O-])n1)OCC(F)([N+](=O)[O-])[N+](=O)[O-])[O-],3.36390002
[N+](C(F)([N+]([O-])=O)COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)([O-])=O,3.36390002
C(F)(COc1n[n+](c(n[n+]1[O-])OCC([N+](=O)[O-])([N+](=O)[O-])F)[O-])([N+](=O)[O-])[N+](=O)[O-],3.36390002
[O-][N+](=O)C([N+](=O)[O-])(F)COc1n[n+](c(n[n+]1[O-])OCC(F)([N+](=O)[O-])[N+](=O)[O-])[O-],3.36390002
n1c([n+](nc([n+]1[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-])[O-])OCC([N+](=O)[O-])(F)[N+]([O-])=O,3.36390002
[O-][n+]1nc(OCC(F)([N+](=O)[O-])[N+](=O)[O-])[n+]([O-])nc1OCC(F)([N+](=O)[O-])[N+](=O)[O-],3.36390002
[O-][N+](C(COc1[n+](nc(OCC([N+](=O)[O-])(F)[N+](=O)[O-])[n+]([O-])n1)[O-])(F)[N+](=O)[O-])=O,3.36390002
n1c(OCC([N+]([O-])=O)([N+]([O-])=O)F)[n+]([O-])nc(OCC([N+](=O)[O-])([N+](=O)[O-])F)[n+]1[O-],3.36390002
n1c(OCC([N+]([O-])=O)([N+]([O-])=O)F)[n+]([O-])nc(OCC([N+]([O-])=O)(F)[N+]([O-])=O)[n+]1[O-],3.36390002
[O-][N+](C(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)([N+](=O)[O-])F)(F)[N+]([O-])=O)=O,3.36390002
O(c1[n+](nc([n+](n1)[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)[O-])CC([N+]([O-])=O)(F)[N+](=O)[O-],3.36390002
O=[N+]([O-])C(COc1n[n+](c(n[n+]1[O-])OCC([N+](=O)[O-])([N+](=O)[O-])F)[O-])([N+](=O)[O-])F,3.36390002
[O-][N+](C([N+]([O-])=O)(COc1[n+](nc(OCC(F)([N+]([O-])=O)[N+](=O)[O-])[n+]([O-])n1)[O-])F)=O,3.36390002
[n+]1([O-])c(OCC([N+](=O)[O-])(F)[N+](=O)[O-])n[n+](c(n1)OCC([N+]([O-])=O)([N+]([O-])=O)F)[O-],3.36390002
[N+](=O)(C(F)(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-])[N+](=O)[O-])[O-],3.36390002
[N+](=O)([O-])C([N+](=O)[O-])(F)COc1[n+]([O-])nc(OCC([N+](=O)[O-])(F)[N+]([O-])=O)[n+](n1)[O-],3.36390002
C(COc1[n+]([O-])nc([n+](n1)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])F)([N+]([O-])=O)([N+](=O)[O-])F,3.36390002
C(Oc1[n+](nc([n+]([O-])n1)OCC(F)([N+](=O)[O-])[N+]([O-])=O)[O-])C([N+]([O-])=O)(F)[N+]([O-])=O,3.36390002
FC([N+]([O-])=O)(COc1[n+]([O-])nc(OCC([N+]([O-])=O)([N+](=O)[O-])F)[n+](n1)[O-])[N+](=O)[O-],3.36390002
O(CC(F)([N+](=O)[O-])[N+]([O-])=O)c1n[n+](c(OCC([N+]([O-])=O)(F)[N+]([O-])=O)n[n+]1[O-])[O-],3.36390002
C([N+](=O)[O-])([N+]([O-])=O)(F)COc1[n+]([O-])nc(OCC([N+](=O)[O-])([N+](=O)[O-])F)[n+](n1)[O-],3.36390002
[N+](=O)([O-])C(F)(COc1n[n+]([O-])c(OCC([N+]([O-])=O)([N+](=O)[O-])F)n[n+]1[O-])[N+]([O-])=O,3.36390002
C(Oc1n[n+](c(n[n+]1[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-])[O-])C([N+](=O)[O-])([N+](=O)[O-])F,3.36390002
n1c([n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+]([O-])=O)[n+]1[O-])OCC(F)([N+](=O)[O-])[N+]([O-])=O,3.36390002
O=[N+]([O-])C([N+](=O)[O-])(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+](=O)[O-])F,3.36390002
O=[N+](C(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+](=O)[O-])(F)[N+]([O-])=O)[O-],3.36390002
[n+]1([O-])nc([n+]([O-])nc1OCC(F)([N+](=O)[O-])[N+](=O)[O-])OCC([N+]([O-])=O)([N+](=O)[O-])F,3.36390002
C(F)([N+]([O-])=O)([N+]([O-])=O)COc1n[n+](c(OCC([N+](=O)[O-])([N+]([O-])=O)F)n[n+]1[O-])[O-],3.36390002
n1[n+]([O-])c(n[n+]([O-])c1OCC([N+]([O-])=O)(F)[N+](=O)[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-],3.36390002
FC([N+](=O)[O-])(COc1n[n+](c(OCC([N+](=O)[O-])([N+](=O)[O-])F)n[n+]1[O-])[O-])[N+]([O-])=O,3.36390002
O(c1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)CC(F)([N+](=O)[O-])[N+](=O)[O-],3.36390002
[O-][N+](=O)C([N+]([O-])=O)(F)COc1[n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+]([O-])=O)[n+]([O-])n1,3.36390002
C([N+](=O)[O-])(F)(COc1[n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+]([O-])=O)[n+]([O-])n1)[N+](=O)[O-],3.36390002
[n+]1([O-])c(OCC(F)([N+](=O)[O-])[N+]([O-])=O)n[n+](c(OCC([N+](=O)[O-])([N+]([O-])=O)F)n1)[O-],3.36390002
C([N+]([O-])=O)([N+]([O-])=O)(COc1n[n+](c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+](=O)[O-])[O-])F,3.36390002
O(c1n[n+]([O-])c(OCC([N+](=O)[O-])([N+](=O)[O-])F)n[n+]1[O-])CC(F)([N+]([O-])=O)[N+](=O)[O-],3.36390002
O=[N+](C(COc1n[n+]([O-])c(n[n+]1[O-])OCC(F)([N+]([O-])=O)[N+](=O)[O-])([N+](=O)[O-])F)[O-],3.36390002
c1(OCC([N+](=O)[O-])([N+]([O-])=O)F)[n+](nc([n+](n1)[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)[O-],3.36390002
[O-][N+](=O)C([N+]([O-])=O)(COc1[n+]([O-])nc([n+](n1)[O-])OCC([N+]([O-])=O)([N+]([O-])=O)F)F,3.36390002
FC([N+]([O-])=O)(COc1[n+](nc(OCC([N+]([O-])=O)(F)[N+]([O-])=O)[n+](n1)[O-])[O-])[N+](=O)[O-],3.36390002
n1[n+](c(n[n+](c1OCC([N+]([O-])=O)([N+]([O-])=O)F)[O-])OCC([N+]([O-])=O)([N+]([O-])=O)F)[O-],3.36390002
O(c1[n+]([O-])nc([n+]([O-])n1)OCC(F)([N+](=O)[O-])[N+]([O-])=O)CC([N+]([O-])=O)(F)[N+](=O)[O-],3.36390002
c1([n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+]([O-])=O)[n+]([O-])n1)OCC([N+](=O)[O-])([N+]([O-])=O)F,3.36390002
[N+](=O)(C(COc1n[n+](c(OCC(F)([N+](=O)[O-])[N+](=O)[O-])n[n+]1[O-])[O-])([N+]([O-])=O)F)[O-],3.36390002
O=[N+](C(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-])(F)[N+](=O)[O-])[O-],3.36390002
[O-][n+]1c(n[n+](c(n1)OCC([N+](=O)[O-])([N+](=O)[O-])F)[O-])OCC(F)([N+](=O)[O-])[N+](=O)[O-],3.36390002
C(Oc1n[n+](c(n[n+]1[O-])OCC([N+]([O-])=O)([N+]([O-])=O)F)[O-])C([N+](=O)[O-])([N+]([O-])=O)F,3.36390002
[O-][N+](=O)C(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+](=O)[O-])([N+](=O)[O-])F,3.36390002
C(Oc1n[n+]([O-])c(OCC([N+]([O-])=O)(F)[N+]([O-])=O)n[n+]1[O-])C(F)([N+]([O-])=O)[N+]([O-])=O,3.36390002
O(CC(F)([N+]([O-])=O)[N+]([O-])=O)c1[n+](nc(OCC([N+](=O)[O-])([N+]([O-])=O)F)[n+](n1)[O-])[O-],3.36390002
O=[N+]([O-])C(COc1[n+]([O-])nc(OCC([N+](=O)[O-])([N+]([O-])=O)F)[n+](n1)[O-])([N+]([O-])=O)F,3.36390002
O=[N+](C([N+]([O-])=O)(F)COc1[n+](nc(OCC([N+]([O-])=O)(F)[N+]([O-])=O)[n+]([O-])n1)[O-])[O-],3.36390002
O=[N+](C([N+]([O-])=O)(COc1[n+](nc([n+](n1)[O-])OCC(F)([N+](=O)[O-])[N+](=O)[O-])[O-])F)[O-],3.36390002
[n+]1([O-])nc(OCC([N+]([O-])=O)(F)[N+]([O-])=O)[n+]([O-])nc1OCC([N+]([O-])=O)([N+](=O)[O-])F,3.36390002
[n+]1([O-])nc([n+]([O-])nc1OCC([N+](=O)[O-])(F)[N+]([O-])=O)OCC(F)([N+](=O)[O-])[N+]([O-])=O,3.36390002
n1c(OCC([N+](=O)[O-])(F)[N+]([O-])=O)[n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+](=O)[O-])[n+]1[O-],3.36390002
[N+](C(COc1[n+](nc(OCC([N+]([O-])=O)(F)[N+](=O)[O-])[n+](n1)[O-])[O-])(F)[N+]([O-])=O)(=O)[O-],3.36390002
[O-][N+](C([N+](=O)[O-])(COc1n[n+]([O-])c(OCC(F)([N+]([O-])=O)[N+]([O-])=O)n[n+]1[O-])F)=O,3.36390002
C(COc1[n+]([O-])nc(OCC([N+](=O)[O-])(F)[N+]([O-])=O)[n+](n1)[O-])([N+]([O-])=O)([N+]([O-])=O)F,3.36390002
O=[N+]([O-])C(F)([N+](=O)[O-])COc1n[n+](c(OCC(F)([N+](=O)[O-])[N+]([O-])=O)n[n+]1[O-])[O-],3.36390002
[O-][N+](=O)C([N+]([O-])=O)(F)COc1n[n+](c(n[n+]1[O-])OCC([N+](=O)[O-])([N+]([O-])=O)F)[O-],3.36390002
[N+]([O-])(C(F)([N+]([O-])=O)COc1[n+](nc([n+](n1)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])F)[O-])=O,3.36390002
O=[N+](C(COc1[n+](nc(OCC([N+](=O)[O-])([N+]([O-])=O)F)[n+]([O-])n1)[O-])([N+]([O-])=O)F)[O-],3.36390002
O=[N+](C(COc1[n+]([O-])nc(OCC([N+](=O)[O-])(F)[N+]([O-])=O)[n+]([O-])n1)([N+]([O-])=O)F)[O-],3.36390002
[n+]1(nc([n+](nc1OCC([N+]([O-])=O)(F)[N+]([O-])=O)[O-])OCC([N+](=O)[O-])([N+]([O-])=O)F)[O-],3.36390002
n1c([n+](nc([n+]1[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-])[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O,3.36390002
O=[N+](C(F)([N+]([O-])=O)COc1[n+]([O-])nc([n+](n1)[O-])OCC(F)([N+]([O-])=O)[N+]([O-])=O)[O-],3.36390002
[n+]1([O-])c(OCC(F)([N+](=O)[O-])[N+](=O)[O-])n[n+]([O-])c(n1)OCC(F)([N+](=O)[O-])[N+]([O-])=O,3.36390002
O=[N+](C(F)(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+](=O)[O-])([N+]([O-])=O)F)[N+](=O)[O-])[O-],3.36390002
N1([PH](=S)N([PH]1=S)c1c(C(C)C)cccc1C(C)C)c1c(cccc1C(C)C)C(C)C,2.579700015
c1(cccc(c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C(C)C)C(C)C,2.579700015
CC(C)c1c(c(C(C)C)ccc1)N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,2.579700015
c1(c(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(ccc1)C(C)C)C(C)C,2.579700015
CC(c1c(N2[PH](N([PH]2=S)c2c(cccc2C(C)C)C(C)C)=S)c(C(C)C)ccc1)C,2.579700015
CC(c1c(c(ccc1)C(C)C)N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)C,2.579700015
c1cc(C(C)C)c(c(C(C)C)c1)N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S,2.579700015
CC(C)c1cccc(C(C)C)c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S,2.579700015
[PH]1(N([PH](=S)N1c1c(C(C)C)cccc1C(C)C)c1c(cccc1C(C)C)C(C)C)=S,2.579700015
[PH]1(N(c2c(C(C)C)cccc2C(C)C)[PH](=S)N1c1c(C(C)C)cccc1C(C)C)=S,2.579700015
c1(c(c(ccc1)C(C)C)N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,2.579700015
c1ccc(C(C)C)c(N2[PH](N([PH]2=S)c2c(cccc2C(C)C)C(C)C)=S)c1C(C)C,2.579700015
c1cc(C(C)C)c(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(c1)C(C)C,2.579700015
[PH]1(=S)N([PH](N1c1c(cccc1C(C)C)C(C)C)=S)c1c(C(C)C)cccc1C(C)C,2.579700015
c1(c(c(C(C)C)ccc1)N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S)C(C)C,2.579700015
[PH]1(N(c2c(C(C)C)cccc2C(C)C)[PH](=S)N1c1c(C(C)C)cccc1C(C)C)=S,2.579700015
C(c1cccc(C(C)C)c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)(C)C,2.579700015
c1c(C(C)C)c(c(C(C)C)cc1)N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,2.579700015
CC(c1cccc(c1N1[PH](N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)=S)C(C)C)C,2.579700015
c1c(c(c(cc1)C(C)C)N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,2.579700015
S=[PH]1N([PH](=S)N1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C,2.579700015
c1(cccc(C(C)C)c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,2.579700015
c1cc(c(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(C(C)C)c1)C(C)C,2.579700015
c1(C(C)C)cccc(C(C)C)c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S,2.579700015
c1c(c(c(C(C)C)cc1)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)C(C)C,2.579700015
CC(C)c1c(N2[PH](=S)N(c3c(C(C)C)cccc3C(C)C)[PH]2=S)c(C(C)C)ccc1,2.579700015
c1cc(C(C)C)c(N2[PH](=S)N([PH]2=S)c2c(cccc2C(C)C)C(C)C)c(c1)C(C)C,2.579700015
CC(c1cccc(c1N1[PH](N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)=S)C(C)C)C,2.579700015
c1cc(c(N2[PH](=S)N([PH]2=S)c2c(cccc2C(C)C)C(C)C)c(c1)C(C)C)C(C)C,2.579700015
c1c(C(C)C)c(c(C(C)C)cc1)N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C,2.579700015
CC(C)c1c(N2[PH](=S)N(c3c(C(C)C)cccc3C(C)C)[PH]2=S)c(C(C)C)ccc1,2.579700015
c1(C(C)C)cccc(C(C)C)c1N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,2.579700015
C(c1cccc(c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C(C)C)(C)C,2.579700015
c1(C(C)C)cccc(c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)C(C)C,2.579700015
CC(c1cccc(c1N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)C(C)C)C,2.579700015
CC(C)c1c(c(ccc1)C(C)C)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S,2.579700015
C(C)(c1cccc(c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C(C)C)C,2.579700015
CC(c1c(N2[PH](N(c3c(cccc3C(C)C)C(C)C)[PH]2=S)=S)c(ccc1)C(C)C)C,2.579700015
S=[PH]1N([PH](=S)N1c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,2.579700015
c1(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(cccc1C(C)C)C(C)C,2.579700015
c1(cccc(C(C)C)c1N1[PH](N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)=S)C(C)C,2.579700015
c1(C(C)C)cccc(c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)C(C)C,2.579700015
c1(cccc(c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C)C(C)C,2.579700015
S=[PH]1N(c2c(cccc2C(C)C)C(C)C)[PH](N1c1c(cccc1C(C)C)C(C)C)=S,2.579700015
N1([PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)c1c(cccc1C(C)C)C(C)C,2.579700015
S=[PH]1N([PH](=S)N1c1c(C(C)C)cccc1C(C)C)c1c(cccc1C(C)C)C(C)C,2.579700015
c1(c(C(C)C)cccc1C(C)C)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S,2.579700015
S=[PH]1N(c2c(cccc2C(C)C)C(C)C)[PH](N1c1c(C(C)C)cccc1C(C)C)=S,2.579700015
c1(N2[PH](N([PH]2=S)c2c(C(C)C)cccc2C(C)C)=S)c(cccc1C(C)C)C(C)C,2.579700015
c1cc(C(C)C)c(c(C(C)C)c1)N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S,2.579700015
CC(c1cccc(C(C)C)c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C,2.579700015
c1(cccc(c1N1[PH](=S)N([PH]1=S)c1c(C(C)C)cccc1C(C)C)C(C)C)C(C)C,2.579700015
c1ccc(c(N2[PH](N(c3c(C(C)C)cccc3C(C)C)[PH]2=S)=S)c1C(C)C)C(C)C,2.579700015
S=[PH]1N(c2c(cccc2C(C)C)C(C)C)[PH](=S)N1c1c(cccc1C(C)C)C(C)C,2.579700015
[PH]1(=S)N([PH](N1c1c(C(C)C)cccc1C(C)C)=S)c1c(C(C)C)cccc1C(C)C,2.579700015
S=[PH]1N([PH](=S)N1c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,2.579700015
[PH]1(N([PH](N1c1c(C(C)C)cccc1C(C)C)=S)c1c(cccc1C(C)C)C(C)C)=S,2.579700015
c1(cccc(c1N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S)C(C)C)C(C)C,2.579700015
CC(C)c1cccc(c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,2.579700015
c1(N2[PH](=S)N([PH]2=S)c2c(cccc2C(C)C)C(C)C)c(cccc1C(C)C)C(C)C,2.579700015
c1ccc(C(C)C)c(c1C(C)C)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S,2.579700015
CC(c1cccc(C(C)C)c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C,2.579700015
c1ccc(c(N2[PH](N(c3c(cccc3C(C)C)C(C)C)[PH]2=S)=S)c1C(C)C)C(C)C,2.579700015
c1(cccc(C(C)C)c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,2.579700015
c1cc(C(C)C)c(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,2.579700015
c1(c(c(C(C)C)ccc1)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)C(C)C,2.579700015
C(C)(C)c1c(c(C(C)C)ccc1)N1[PH](N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)=S,2.579700015
[PH]1(N(c2c(cccc2C(C)C)C(C)C)[PH](=S)N1c1c(C(C)C)cccc1C(C)C)=S,2.579700015
C(c1c(c(C(C)C)ccc1)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)(C)C,2.579700015
N1([PH](N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)=S)c1c(cccc1C(C)C)C(C)C,2.579700015
C(C)(c1cccc(C(C)C)c1N1[PH](N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)=S)C,2.579700015
c1(C(C)C)c(c(C(C)C)ccc1)N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C,2.579700015
c1cc(C(C)C)c(N2[PH](=S)N(c3c(cccc3C(C)C)C(C)C)[PH]2=S)c(c1)C(C)C,2.579700015
N1([PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)c1c(cccc1C(C)C)C(C)C,2.579700015
c1ccc(c(c1C(C)C)N1[PH](=S)N([PH]1=S)c1c(C(C)C)cccc1C(C)C)C(C)C,2.579700015
CC(c1cccc(C(C)C)c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C,2.579700015
c1ccc(C(C)C)c(c1C(C)C)N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,2.579700015
c1(c(N2[PH](N([PH]2=S)c2c(C(C)C)cccc2C(C)C)=S)c(ccc1)C(C)C)C(C)C,2.579700015
S=[PH]1N(c2c(C(C)C)cccc2C(C)C)[PH](=S)N1c1c(cccc1C(C)C)C(C)C,2.579700015
C(C)(c1cccc(C(C)C)c1N1[PH](=S)N([PH]1=S)c1c(C(C)C)cccc1C(C)C)C,2.579700015
CC(c1cccc(c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)C(C)C)C,2.579700015
N1([PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)c1c(cccc1C(C)C)C(C)C,2.579700015
C(C)(C)c1cccc(C(C)C)c1N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,2.579700015
C(C)(c1cccc(C(C)C)c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C,2.579700015
